#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265
#
----------------------------------------------------------------------
Threads summary [ 8 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
    estCostCoop         0.1   0.1    37728.6     2635.0    0.07   93.6
    estCostCoop         0.2   0.2    17344.1     1211.3    0.07    0.0
    estCostCoop         0.1   0.1    30350.0     2119.7    0.07    0.0
    estCostCoop         0.1   0.1    32350.3     2259.4    0.07    0.0
    estCostCoop         0.1   0.1    32392.4     2262.3    0.07  160.7
    estCostCoop         0.1   0.1    30498.3     2130.0    0.07  151.3
    estCostCoop         0.2   0.2    17573.5     1227.4    0.07  174.3
    estCostCoop         0.2   0.2    21687.7     1411.4    0.07  161.4
    estCostCoop         0.2   0.2    19490.2     1237.5    0.06    0.0
    estCostCoop         0.2   0.2    20912.0     1294.6    0.06   51.9
    estCostCoop         0.2   0.2    18674.6     1126.4    0.06  324.2
    estCostCoop         0.2   0.2    17912.2     1080.4    0.06  177.7
    estCostCoop         0.1   0.1    32079.4     1934.9    0.06  159.1
    estCostCoop         0.1   0.1    23630.6     1387.8    0.06  117.2
    estCostCoop         0.2   0.2    17919.9     1052.4    0.06    0.0
    estCostCoop         0.1   0.1    37087.8     2119.3    0.06    0.0
    estCostCoop         0.1   0.1    56004.0     3022.4    0.05  138.9
    estCostCoop         0.0   0.0    94154.9     2839.6    0.03    0.0
    estCostCoop         0.0   0.0   267447.8     2971.6    0.01    0.0
    estCostCoop         0.0   0.0   130141.1     1446.0    0.01    0.0
    estCostCoop         0.0   0.0   136674.3     1518.6    0.01    0.0
    estCostCoop         0.0   0.0   129720.4     1441.3    0.01    0.0
    estCostCoop         0.0   0.0    96399.6     1071.1    0.01    0.0
    estCostCoop         0.0   0.0   137554.6     1310.0    0.01    0.0
    estCostCoop         0.0   0.0   162710.8     1549.6    0.01    0.0
    estCostCoop         0.0   0.0   127283.0     1212.2    0.01    0.0
    estCostCoop         0.0   0.0   118392.1     1127.5    0.01  293.6
    estCostCoop         0.0   0.0   209678.5     1996.9    0.01 1040.1
    estCostCoop         0.0   0.0   204426.0     1946.9    0.01    0.0
    estCostCoop         0.0   0.0   243845.8     2322.3    0.01    0.0
    estCostCoop         0.1   0.1    36623.2      348.8    0.01    0.0
    estCostCoop         0.0   0.0   158001.7     1254.0    0.01    0.0
    estCostCoop         0.0   0.0   174293.2     1383.3    0.01    0.0
    estCostCoop         0.0   0.0   154768.3     1228.3    0.01  383.9
    estCostCoop         0.0   0.0   102432.4      813.0    0.01    0.0
    estCostCoop         0.0   0.0   166415.7     1320.8    0.01    0.0
    estCostCoop         0.0   0.0   216086.4     1372.0    0.01    0.0
    estCostCoop         0.0   0.0   267777.5     1700.2    0.01    0.0
    estCostCoop         0.0   0.0   214358.6     1361.0    0.01    0.0
    estCostCoop         0.0   0.0   242802.6     1541.6    0.01    0.0
    estCostCoop         0.0   0.0   244167.1     1550.3    0.01    0.0
    estCostCoop         0.0   0.0   238871.6     1516.6    0.01    0.0
    estCostCoop         0.0   0.0   158634.2     1007.2    0.01    0.0
    estCostCoop         0.0   0.0   340614.2     2162.6    0.01    0.0
    estCostCoop         0.0   0.0   325732.9     2068.1    0.01  807.9
    estCostCoop         0.0   0.0   272314.7     1729.0    0.01    0.0
    estCostCoop         0.0   0.0   212135.5     1346.9    0.01    0.0
    estCostCoop         0.0   0.0   243940.2     1548.8    0.01    0.0
    estCostCoop         0.0   0.0   178036.5     1130.4    0.01    0.0
    estCostCoop         0.0   0.0   345679.0     2194.8    0.01    0.0
    estCostCoop         0.0   0.0   175209.3     1112.4    0.01    0.0
    estCostCoop         0.0   0.0   244717.2     1165.3    0.00    0.0
    estCostCoop         0.0   0.0   253664.0     1207.9    0.00    0.0
    estCostCoop         0.0   0.0   256954.1     1223.6    0.00    0.0
    estCostCoop         0.0   0.0   149179.5      710.4    0.00  370.0
    estCostCoop         0.0   0.0   321789.8     1532.3    0.00    0.0
    estCostCoop         0.0   0.0   291855.8     1389.8    0.00    0.0
    estCostCoop         0.0   0.0   333245.2     1586.9    0.00    0.0
    estCostCoop         0.0   0.0   199847.7      951.7    0.00  495.7
    estCostCoop         0.0   0.0   226252.5     1077.4    0.00    0.0
    estCostCoop         0.0   0.0   141309.5      672.9    0.00  350.5
    estCostCoop         0.0   0.0   238293.4     1134.7    0.00    0.0
    estCostCoop         0.0   0.0   171840.0      818.3    0.00    0.0
    estCostCoop         0.0   0.0   228451.2     1087.9    0.00    0.0
    estCostCoop         0.0   0.0   308672.2     1469.9    0.00    0.0
    estCostCoop         0.0   0.0   241740.5     1151.1    0.00    0.0
    estCostCoop         0.0   0.0   145860.3      694.6    0.00    0.0
    estCostCoop         0.0   0.0   269058.3     1281.2    0.00    0.0
    estCostCoop         0.0   0.0   277949.3     1323.6    0.00  689.4
    estCostCoop         0.0   0.0    85908.3      409.1    0.00    0.0
    estCostCoop         0.0   0.0   184994.9      880.9    0.00    0.0
    estCostCoop         0.0   0.0   187561.4      893.1    0.00    0.0
    estCostCoop         0.0   0.0   455828.1     2170.6    0.00    0.0
    estCostCoop         0.0   0.0   437408.9     2082.9    0.00    0.0
    estCostCoop         0.0   0.0   165916.1      790.1    0.00    0.0
    estCostCoop         0.0   0.0   727146.8     3462.6    0.00    0.0
    estCostCoop         0.0   0.0   774146.0     3686.4    0.00 1920.0
    estCostCoop         0.0   0.0   620078.8     1968.5    0.00    0.0
    estCostCoop         0.0   0.0   661278.5     2099.3    0.00 1640.1
    estCostCoop         0.0   0.0   399340.8      633.9    0.00    0.0
    estCostCoop         0.0   0.0   744065.2     1181.1    0.00    0.0
    estCostCoop         0.0   0.0   752778.1     1194.9    0.00    0.0
    estCostCoop         0.0   0.0   490998.3      779.4    0.00    0.0
    estCostCoop         0.0   0.0   610998.0      969.8    0.00    0.0
    estCostCoop         0.0   0.0   635144.7     1008.2    0.00    0.0
    estCostCoop         0.0   0.0   638750.9     1013.9    0.00    0.0
    estCostCoop         0.0   0.0   423614.8      672.4    0.00    0.0
    estCostCoop         0.0   0.0   793350.9     1259.3    0.00    0.0
    estCostCoop         0.0   0.0  2514970.2     3992.0    0.00    0.0
    estCostCoop         0.0   0.0  2597938.0     4123.7    0.00 6443.3
    estCostCoop         0.0   0.0  1709633.8     2713.7    0.00    0.0
  filterCTURow          5.7   5.7      618.5     1565.8    2.53   93.6
<6>                    75.9  66.7       46.2     3409.0   73.80   92.6
  prelookahead          0.8   0.8     4252.9      276.8    0.07  126.6
  estCostSingle         1.7   1.7     2029.5      325.4    0.16   95.6
  estCostCoop          10.5  10.5      334.1     1223.9    3.66   95.3
  encodeCTU            47.2  47.2       74.2     4958.4   66.78   90.0
  filterCTURow          5.8   5.8      602.4     1872.3    3.11  103.1
  slicetypeDecideEV     9.8   0.6      357.4        6.2    0.02   92.2
    prelookahead        0.2   0.2    16287.4      284.4    0.02   80.8
    prelookahead        0.2   0.2    16781.8      293.0    0.02  249.7
    prelookahead        0.2   0.2    17644.5      280.1    0.02    0.0
    estCostSingle       0.1   0.1    66438.9      105.5    0.00  164.8
    prelookahead        0.2   0.2    19019.4      301.9    0.02   94.3
    estCostSingle       0.0   0.0    86512.3      137.3    0.00    0.0
    prelookahead        0.2   0.2    19535.7      279.1    0.01   48.5
    estCostSingle       0.1   0.1    38689.7      122.8    0.00   96.0
    estCostSingle       0.5   0.5     7111.0      124.2    0.02  141.1
    estCostSingle       0.5   0.5     7159.2      125.0    0.02   53.3
    estCostSingle       0.5   0.5     7261.0      126.8    0.02  108.0
    estCostSingle       0.6   0.6     6280.4      109.7    0.02   62.3
    estCostSingle       0.3   0.3    11211.2      195.8    0.02   55.6
    estCostSingle       0.5   0.5     6874.7      120.0    0.02   85.3
    estCostSingle       0.5   0.5     6692.2      106.2    0.02  116.2
    estCostCoop         0.0   0.0   535987.8      850.8    0.00    0.0
    estCostSingle       0.3   0.3    12572.7      199.6    0.02   62.4
    estCostCoop         0.0   0.0   644963.1     1023.8    0.00    0.0
    estCostSingle       0.3   0.3    13625.3      216.3    0.02  135.2
    estCostCoop         0.0   0.0   668647.9     1061.3    0.00 1658.4
    estCostSingle       0.2   0.2    14215.3      225.6    0.02  141.0
    estCostCoop         0.0   0.0   434093.6      689.0    0.00    0.0
    estCostSingle       0.4   0.4     9715.1      154.2    0.02   72.3
    estCostCoop         0.0   0.0   641482.5     1018.2    0.00    0.0
    estCostSingle       0.2   0.2    19288.4      306.2    0.02   95.7
    estCostCoop         0.0   0.0   641286.6     1017.9    0.00    0.0
    estCostSingle       0.2   0.2    20973.0      332.9    0.02   52.0
    estCostCoop         0.0   0.0   656523.6     1042.1    0.00    0.0
    estCostSingle       0.2   0.2    15468.2      245.5    0.02   76.7
    estCostCoop         0.0   0.0   454972.2      722.2    0.00    0.0
    estCostSingle       0.1   0.1    23697.7      338.5    0.01  176.3
    estCostCoop         0.0   0.0   332085.8     1054.2    0.00    0.0
    estCostSingle       0.1   0.1    28607.5      408.7    0.01  141.9
    estCostCoop         0.0   0.0   542168.7     1721.2    0.00    0.0
    estCostSingle       0.1   0.1    31185.3      445.5    0.01  154.7
    estCostCoop         0.0   0.0  1222826.1     3882.0    0.00    0.0
    estCostSingle       0.1   0.1    31684.7      402.3    0.01   78.6
    estCostCoop         0.0   0.0   254576.3     1212.3    0.00    0.0
    estCostSingle       0.1   0.1    32654.0      414.7    0.01    0.0
    estCostCoop         0.0   0.0   283873.3     1351.8    0.00    0.0
    estCostSingle       0.1   0.1    29445.7      373.9    0.01   73.0
    estCostCoop         0.0   0.0   288554.0     1374.1    0.00    0.0
    estCostCoop         0.1   0.1    56803.3      901.6    0.02  140.9
    estCostSingle       0.0   0.0   155363.8      246.6    0.00    0.0
    estCostCoop         0.1   0.1    66415.1     1054.2    0.02    0.0
    estCostSingle       0.0   0.0   128419.4      203.8    0.00    0.0
    estCostCoop         0.0   0.0   190395.6     3022.2    0.02    0.0
    estCostSingle       0.0   0.0   142311.8      225.9    0.00  353.0
    estCostCoop         0.0   0.0    83888.1     1331.6    0.02  416.1
    estCostSingle       0.0   0.0   143674.9      228.1    0.00    0.0
    estCostCoop         0.0   0.0   138251.9     2194.5    0.02    0.0
    estCostSingle       0.0   0.0   145094.4      230.3    0.00    0.0
    estCostCoop         0.0   0.0    81035.2     1286.3    0.02    0.0
    estCostSingle       0.0   0.0   155203.0      246.4    0.00    0.0
    estCostCoop         0.0   0.0   159328.3     2529.0    0.02    0.0
    estCostSingle       0.0   0.0   142511.4      226.2    0.00  353.5
    estCostCoop         0.1   0.1    59210.5      939.8    0.02  293.7
    estCostSingle       0.0   0.0   149832.3      237.8    0.00    0.0
    estCostCoop         0.0   0.0   142630.8     2264.0    0.02    0.0
    estCostSingle       0.0   0.0   130127.6      206.6    0.00    0.0
    estCostCoop         0.0   0.0   134259.7     2131.1    0.02  666.0
    estCostSingle       0.0   0.0   153426.5      243.5    0.00  380.5
    estCostCoop         0.0   0.0    81146.9     1288.0    0.02  201.3
    estCostSingle       0.0   0.0   144445.7      229.3    0.00    0.0
    estCostCoop         0.0   0.0   146528.7     2325.9    0.02    0.0
    estCostSingle       0.0   0.0   133466.1      211.9    0.00    0.0
    estCostCoop         0.0   0.0   167046.7     2651.5    0.02    0.0
    estCostSingle       0.0   0.0   150923.5      239.6    0.00    0.0
    estCostCoop         0.0   0.0   155031.1     2460.8    0.02    0.0
    estCostSingle       0.0   0.0   148532.4      235.8    0.00  368.4
    estCostCoop         0.0   0.0   107668.4     1709.0    0.02    0.0
    estCostSingle       0.0   0.0   141009.0      223.8    0.00    0.0
    estCostCoop         0.0   0.0    92477.1     1467.9    0.02    0.0
    estCostSingle       0.0   0.0   148855.2      236.3    0.00    0.0
    estCostCoop         0.0   0.0    88696.2     1267.1    0.01    0.0
    estCostSingle       0.0   0.0   150254.0      238.5    0.00    0.0
    estCostCoop         0.1   0.1    69876.5      998.2    0.01    0.0
    estCostSingle       0.0   0.0   150300.6      238.6    0.00  372.8
    estCostCoop         0.0   0.0    95502.3     1364.3    0.01    0.0
    estCostSingle       0.0   0.0   141012.2      223.8    0.00    0.0
    estCostCoop         0.0   0.0    83674.2     1195.3    0.01    0.0
    estCostSingle       0.0   0.0   124898.4      198.3    0.00    0.0
    estCostCoop         0.0   0.0    82730.4     1181.9    0.01  205.2
    estCostSingle       0.0   0.0   154366.4      245.0    0.00  382.9
    estCostCoop         0.0   0.0   168219.8     2403.1    0.01    0.0
    estCostSingle       0.0   0.0   132975.9      211.1    0.00    0.0
    estCostCoop         0.0   0.0   108383.4     1548.3    0.01  268.8
    estCostSingle       0.0   0.0   140760.1      223.4    0.00    0.0
    estCostCoop         0.0   0.0   103678.1     1316.5    0.01  257.1
    estCostSingle       0.0   0.0   294530.2      467.5    0.00    0.0
    estCostCoop         0.0   0.0   186888.2     2373.2    0.01    0.0
    estCostSingle       0.0   0.0   151246.0      240.1    0.00  375.1
    estCostCoop         0.0   0.0   230870.7     2198.8    0.01    0.0
    estCostSingle       0.0   0.0   160305.4      254.5    0.00    0.0
    estCostCoop         0.0   0.0   477453.6     1515.7    0.00    0.0
    estCostSingle       0.0   0.0   123527.0      196.1    0.00    0.0
    estCostCoop         0.0   0.0   490234.2     1556.3    0.00    0.0
    estCostSingle       0.0   0.0   315047.2      500.1    0.00    0.0
    estCostCoop         0.0   0.0   659893.2     1047.4    0.00    0.0
    estCostSingle       0.0   0.0   312888.0      496.6    0.00    0.0
    estCostCoop         0.0   0.0   302346.8      479.9    0.00  749.9
    estCostSingle       0.0   0.0   146822.4      233.1    0.00  364.1
    estCostCoop         0.0   0.0  2247592.0     3567.6    0.00    0.0
    estCostSingle       0.0   0.0   155732.4      247.2    0.00    0.0
    estCostCoop         0.0   0.0  2311926.8     3669.7    0.00    0.0
    estCostSingle       0.0   0.0   234148.5      371.7    0.00    0.0
    estCostCoop         0.0   0.0  2202027.2     3495.3    0.00    0.0
    estCostSingle       0.0   0.0   307872.8      488.7    0.00    0.0
    estCostCoop         0.0   0.0   529189.4      840.0    0.00    0.0
    estCostSingle       0.0   0.0   292615.0      464.5    0.00    0.0
    estCostCoop         0.0   0.0  2137042.0     3392.1    0.00    0.0
    estCostSingle       0.0   0.0   154237.9      244.8    0.00  382.5
    estCostCoop         0.0   0.0  2263744.2     3593.2    0.00    0.0
    estCostSingle       0.0   0.0   325817.1      517.2    0.00    0.0
    estCostCoop         0.0   0.0  2239602.0     3554.9    0.00    0.0
    estCostSingle       0.0   0.0   312608.6      496.2    0.00    0.0
    estCostCoop         0.0   0.0  1565217.4     2484.5    0.00    0.0
    estCostSingle       0.0   0.0   319634.7      507.4    0.00    0.0
    estCostCoop         0.0   0.0  2232459.2     3543.6    0.00    0.0
    estCostSingle       0.0   0.0   212049.8      336.6    0.00    0.0
    estCostCoop         0.0   0.0   970425.2     1540.4    0.00    0.0
    estCostSingle       0.0   0.0   289641.8      459.7    0.00    0.0
    estCostCoop         0.0   0.0  2101401.0     3335.6    0.00    0.0
    estCostSingle       0.0   0.0   330969.3      525.3    0.00    0.0
    estCostCoop         0.0   0.0  1328553.4     2108.8    0.00    0.0
    estCostSingle       0.0   0.0   302172.8      479.6    0.00  749.4
    estCostCoop         0.0   0.0  2153110.2     3417.6    0.00    0.0
    estCostSingle       0.0   0.0   326222.1      517.8    0.00    0.0
    estCostCoop         0.0   0.0  2267002.5     3598.4    0.00    0.0
    estCostSingle       0.0   0.0   294750.6      467.9    0.00    0.0
    estCostCoop         0.0   0.0   560249.1     1778.6    0.00    0.0
    estCostCoop         0.0   0.0   459083.3     1457.4    0.00    0.0
    estCostCoop         0.0   0.0   294709.3      935.6    0.00    0.0
    estCostCoop         0.0   0.0   536672.6     1703.7    0.00    0.0
    estCostCoop         0.0   0.0   712105.8     2260.7    0.00    0.0
    estCostCoop         0.0   0.0   375558.9     1192.3    0.00    0.0
    estCostCoop         0.0   0.0   616257.4     1956.4    0.00    0.0
    estCostCoop         0.0   0.0   579363.6     1839.2    0.00 1436.9
    estCostCoop         0.0   0.0   510741.8     1621.4    0.00    0.0
    estCostCoop         0.0   0.0   437166.1     1387.8    0.00    0.0
    estCostCoop         0.0   0.0   762711.9     2421.3    0.00    0.0
    estCostCoop         0.0   0.0   671284.0     2131.1    0.00 1664.9
    estCostCoop         0.0   0.0   583819.9     1853.4    0.00    0.0
    estCostCoop         0.0   0.0   384123.0     1219.4    0.00    0.0
    estCostCoop         0.0   0.0   527108.4     1673.4    0.00    0.0
    estCostCoop         0.0   0.0   534941.0     1698.2    0.00    0.0
    estCostCoop         0.0   0.0   393996.2     1250.8    0.00    0.0
    estCostCoop         0.0   0.0   585393.1     1858.4    0.00    0.0
    estCostCoop         0.0   0.0   581449.0     1845.9    0.00    0.0
    estCostCoop         0.0   0.0   427698.6     1357.8    0.00    0.0
    estCostCoop         0.0   0.0  1139240.6     3616.6    0.00    0.0
    estCostCoop         0.0   0.0  1012048.2     3212.9    0.00    0.0
    estCostCoop         0.0   0.0   770171.1     2445.0    0.00    0.0
    estCostCoop         0.0   0.0   916363.6     2909.1    0.00    0.0
    estCostCoop         0.0   0.0   555310.7     1762.9    0.00    0.0
    estCostCoop         0.0   0.0   531152.5     1686.2    0.00    0.0
    estCostCoop         0.0   0.0   516901.8     1641.0    0.00    0.0
    estCostCoop         0.0   0.0   397601.8     1262.2    0.00    0.0
    estCostCoop         0.0   0.0   453270.0     1439.0    0.00 1124.2
    estCostCoop         0.0   0.0    80702.0      256.2    0.00    0.0
    estCostCoop         0.0   0.0   498970.4     1584.0    0.00    0.0
    estCostCoop         0.0   0.0   365832.4     1161.4    0.00    0.0
    estCostCoop         0.0   0.0  1114452.5     3537.9    0.00    0.0
    estCostCoop         0.0   0.0  1129234.6     3584.9    0.00    0.0
    estCostCoop         0.0   0.0  1123395.2     3566.3    0.00    0.0
    estCostCoop         0.0   0.0   903873.8     2869.4    0.00    0.0
    estCostCoop         0.0   0.0  1031096.6     3273.3    0.00 2557.3
    estCostCoop         0.0   0.0  1072340.5     3404.3    0.00    0.0
    estCostCoop         0.0   0.0   566444.9     1798.2    0.00 1404.9
    estCostCoop         0.0   0.0   518732.0     1646.8    0.00    0.0
    estCostCoop         0.0   0.0   617647.1      980.4    0.00    0.0
    estCostCoop         0.0   0.0   744504.8     1181.8    0.00    0.0
    estCostCoop         0.0   0.0   675458.4     1072.2    0.00    0.0
    estCostCoop         0.0   0.0   765027.3     1214.3    0.00    0.0
    estCostCoop         0.0   0.0  2376462.0     3772.2    0.00    0.0
    estCostCoop         0.0   0.0   759402.2     1205.4    0.00    0.0
    estCostCoop         0.0   0.0   656455.2     1042.0    0.00    0.0
    estCostCoop         0.0   0.0  2313625.0     3672.4    0.00    0.0
<7>                     6.0   6.0      584.6      557.7    0.95   37.7
  frameRead             6.0   6.0      584.6      557.7    0.95   37.7
