#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265
#
----------------------------------------------------------------------
Threads summary [ 8 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
      estCostCoop       0.0   0.0   289256.2      918.3    0.00    0.0
      estCostCoop       0.0   0.0   494505.5     1569.9    0.00    0.0
      estCostCoop       0.0   0.0   502272.2     1594.5    0.00    0.0
      estCostCoop       0.0   0.0   256201.7      813.3    0.00    0.0
      estCostCoop       0.0   0.0  1227591.5     3897.1    0.00    0.0
      estCostCoop       0.0   0.0   975081.2     3095.5    0.00    0.0
      estCostCoop       0.0   0.0  2411022.0     3827.0    0.00    0.0
      estCostCoop       0.0   0.0  2580909.5     4096.7    0.00    0.0
      estCostCoop       0.0   0.0   804186.9     1276.5    0.00    0.0
      estCostCoop       0.0   0.0   787992.5     1250.8    0.00    0.0
      estCostCoop       0.0   0.0   676909.9     1074.5    0.00    0.0
      estCostCoop       0.0   0.0   772248.1     1225.8    0.00    0.0
      estCostCoop       0.0   0.0   686050.4     1089.0    0.00    0.0
      estCostCoop       0.0   0.0   732217.6     1162.3    0.00    0.0
      estCostCoop       0.0   0.0  2207428.2     3503.9    0.00    0.0
      estCostCoop       0.0   0.0   755305.2     1198.9    0.00    0.0
      estCostCoop       0.0   0.0   656455.2     1042.0    0.00    0.0
      estCostCoop       0.0   0.0  2342878.5     3718.9    0.00    0.0
      estCostCoop       0.0   0.0  2095111.5     3325.6    0.00    0.0
<1>                    86.8  86.8       40.4       19.3    0.48    1.0
  frameThread          86.8  86.8       40.4       19.3    0.48    1.0
<2>                    81.3  81.3       43.2       20.6    0.48    1.1
  frameThread          81.3  81.3       43.2       20.6    0.48    1.1
<3>                    76.4  68.8       45.9     3681.7   80.22   91.9
  slicetypeDecideEV     8.1   0.5      433.3        6.9    0.02   90.3
    prelookahead        0.4   0.4     9934.5      157.7    0.02   49.3
    prelookahead        0.2   0.2    18159.0      259.4    0.01   90.1
    prelookahead        0.2   0.2    18082.9      229.6    0.01   89.7
    prelookahead        0.2   0.2    21755.3      276.3    0.01  215.8
    prelookahead        0.1   0.1    26670.6      296.3    0.01   66.1
    prelookahead        0.0   0.0   217361.3      345.0    0.00    0.0
    prelookahead        0.0   0.0   157578.8      250.1    0.00    0.0
    estCostSingle       0.3   0.3    10364.1      131.6    0.01  128.5
    estCostSingle       0.3   0.3    12831.7      162.9    0.01   63.6
    estCostSingle       0.3   0.3    13045.5      165.7    0.01   97.1
    estCostSingle       0.4   0.4     9752.6      123.8    0.01   96.8
    estCostSingle       0.3   0.3    10433.5      132.5    0.01  129.4
    estCostSingle       0.3   0.3    12623.0      160.3    0.01   62.6
    estCostSingle       0.2   0.2    15978.3      202.9    0.01   39.6
